"Tpeak,v","TTP,t,v","dT/dtMax,v","dT/dtMax,v","Tdur,v","Trest,v"
46.2675,206.0,0.46875,-0.1911,543.0,0.5842
29.1643,151.0,0.40336,-0.1843,357.0,0.0592683
18.5872,177.0,0.20221,-0.0943,478.0,0.292496
25.2109,244.0,0.199095,-0.09415,604.0,0.121436
89.9419,173.0,1.0707,-0.45735,448.0,0.436197
33.0883,191.0,0.3227,-0.1411,564.0,0.46047
31.4303,243.0,0.2299,-0.09525,736.0,1.2563
57.2547,158.0,0.6841,-0.2501,533.0,0.94942
35.7178,232.0,0.31095,-0.14825,554.0,0.0705508
37.3416,191.0,0.37615,-0.1741,515.0,0.0869522
41.6014,223.0,0.3644,-0.141,633.0,1.25361
44.9669,200.0,0.42355,-0.2363,463.0,0.0188272
55.1057,171.0,0.6103,-0.251,516.0,0.446161
27.1553,210.0,0.24801,-0.1478,446.0,0.055465
89.9647,241.0,0.77515,-0.28605,687.0,1.21333
62.0686,117.0,1.1299,-0.3146,418.0,0.765803
57.3813,159.0,0.82435,-0.19385,615.0,0.860128
99.5591,211.0,0.96325,-0.47455,489.0,0.408458
11.9463,155.0,0.152425,-0.062305,470.0,0.0917169
33.6455,200.0,0.3005,-0.1459,577.0,0.168301
36.5734,242.0,0.27645,-0.1313,676.0,1.05985
33.9511,168.0,0.36695,-0.1577,580.0,0.12133
42.1026,139.0,0.61015,-0.2572,370.0,0.04972
28.1478,152.0,0.356775,-0.13695,461.0,0.349082
73.0779,155.0,0.97995,-0.4858,348.0,0.0440751
69.1077,155.0,0.87465,-0.48255,347.0,0.0934819
38.0022,146.0,0.50295,-0.2257,406.0,0.102418
12.1732,175.0,0.132875,-0.041955,677.0,0.26591
18.0504,203.0,0.17656,-0.0823,531.0,0.11622
33.6087,189.0,0.3265,-0.15565,539.0,0.114118
36.1277,235.0,0.2708,-0.12115,698.0,1.52149
55.9245,219.0,0.47205,-0.2962,499.0,0.161355
84.8664,244.0,0.69565,-0.38435,565.0,0.388224
16.3888,172.0,0.165015,-0.0673,538.0,1.49846
58.3711,237.0,0.4534,-0.21675,608.0,1.23342
37.8094,245.0,0.2764,-0.1396,661.0,0.330521
53.882,258.0,0.37365,-0.1593,759.0,1.44475
31.4844,142.0,0.46155,-0.22155,324.0,0.0903913
67.5984,155.0,0.80715,-0.46605,365.0,0.0662493
46.9059,179.0,0.49525,-0.2366,495.0,0.0998456
29.6869,112.0,0.5611,-0.31135,233.0,0.006037
43.1936,178.0,0.45475,-0.1798,528.0,1.78582
27.6086,143.0,0.39355,-0.2303,320.0,0.0310585
79.6857,198.0,0.74575,-0.39265,504.0,0.0640921
71.0417,157.0,1.0033,-0.36035,439.0,0.161539
73.9187,143.0,0.9663,-0.4566,375.0,0.208403
31.3789,174.0,0.35085,-0.15845,471.0,0.106507
45.8396,215.0,0.40195,-0.1784,608.0,0.968274
30.5834,149.0,0.40385,-0.15705,442.0,0.357016
145.867,227.0,1.48235,-0.53665,635.0,1.63741
