PCa,Jup,[TRPN],Gncx,"INaCa,SS",CaMKo,[BSL],aCaMK,bCaMK,"tau,diffCa","Tref,v","TRPN50,v","nTm,v","nTRPN,v","kTRPN,v","rs,v","rw,v","Aeff,v","ku,v","beta1,v","beta0,v","gamma,s,v","gamma,w,v","phi,v","ca50,v","nu,v","mu,v"
0.000124856,0.82749,0.100601,0.00180897,0.203818,0.0651593,1.20808,0.0726017,0.000727842,0.161666,178.063,0.465746,2.401,2.45412,0.101749,0.147215,0.639595,28.1787,0.0106177,-1.40791,2.00147,0.00446608,0.823683,2.56705,0.872142,8.40795,3.34392
0.000118123,0.80848,0.0994418,0.0014826,0.264188,0.0704694,1.45684,0.0346368,0.000438786,0.264265,109.623,0.352071,2.05279,2.59768,0.0985543,0.289122,0.275269,26.6287,0.0124402,-2.59713,2.44152,0.00785111,0.673751,1.62151,0.918558,6.44192,3.29094
0.000133519,1.02301,0.0721018,0.00268862,0.275539,0.0583488,0.634843,0.0464296,0.000806079,0.2682,88.5124,0.41839,1.36337,2.54591,0.0520072,0.217261,0.45887,31.5443,0.0219956,-2.18087,2.01263,0.0121247,0.333941,1.62209,0.747563,3.53472,3.1889
0.000137122,0.933549,0.087311,0.0015053,0.256532,0.0293334,0.654732,0.0481007,0.000444531,0.254656,87.5,0.427054,3.04667,2.53719,0.103338,0.132649,0.43359,35.818,0.0198454,-1.99356,2.93054,0.00944382,0.555799,1.43918,1.16325,8.22502,2.86154
7.58698e-05,1.11563,0.103673,0.00164848,0.655812,0.0416615,1.5942,0.0739926,0.000767938,0.114834,178.738,0.260717,2.35096,1.712,0.0522099,0.127346,0.648114,17.8741,0.0278993,-2.31146,2.91157,0.00925063,0.649213,2.66676,0.761582,8.16445,2.40559
7.6403e-05,0.837022,0.0855792,0.00179345,0.570017,0.0610816,0.800114,0.0358057,0.000768564,0.152416,154.7,0.416807,2.56638,1.79516,0.0785001,0.255791,0.348446,13.8721,0.0311151,-2.72186,2.84171,0.00825272,0.66116,3.2984,0.787678,9.34902,3.73946
9.89955e-05,1.20393,0.0569678,0.00225468,0.59204,0.0350374,0.695648,0.0574806,0.000840183,0.157206,103.701,0.451103,1.38991,2.51436,0.1407,0.310224,0.285825,21.95,0.0313376,-3.12686,2.52928,0.00530598,0.542767,1.53544,0.651705,7.80374,2.25902
8.52462e-05,0.637512,0.0479842,0.00153055,0.263227,0.0327065,1.533,0.0549223,0.000910269,0.112241,61.2406,0.211213,2.17525,1.85035,0.110473,0.247897,0.717809,22.9152,0.0312666,-2.02212,1.69848,0.0127358,0.43958,2.77681,1.1266,9.35813,3.74877
5.11648e-05,1.37027,0.070437,0.00176233,0.510407,0.0552085,0.581555,0.027242,0.000890435,0.271013,153.156,0.449008,2.49807,1.19957,0.0504183,0.224498,0.55482,32.0645,0.0140921,-2.15455,2.59787,0.00836837,0.77612,2.55335,1.05221,9.41455,2.48911
0.000127662,0.523599,0.0833686,0.00151665,0.237547,0.0592135,1.28897,0.0353351,0.000432917,0.201312,68.2442,0.492944,2.05454,2.26095,0.0789566,0.180453,0.593321,16.4868,0.0120047,-2.04088,2.54063,0.0101468,0.596043,2.43512,0.984456,4.72307,1.50615
0.000122806,0.760176,0.0727257,0.00175139,0.537248,0.0665937,0.821404,0.031274,0.000941853,0.134319,60.8377,0.383365,1.57807,1.5183,0.0530367,0.344142,0.678914,33.724,0.0170225,-1.95694,2.29226,0.00650979,0.698555,1.98579,1.08785,8.99799,2.81695
0.000104663,1.00806,0.0880738,0.00174997,0.72673,0.0403346,0.755581,0.0443668,0.0005327,0.127253,175.213,0.417516,2.89778,2.36457,0.136973,0.129572,0.538316,30.5324,0.0182098,-2.55223,3.23116,0.00754671,0.318435,1.82488,0.434056,5.98951,4.38493
0.000120271,1.25305,0.0609625,0.00255187,0.524807,0.0348091,0.815926,0.0641734,0.000855409,0.153459,79.4611,0.477781,2.33038,2.53774,0.123105,0.150678,0.476418,37.0265,0.0293617,-2.30492,1.82485,0.00893826,0.717779,2.04682,0.878968,9.41158,1.59567
0.000137404,1.46773,0.0497512,0.00251249,0.598022,0.0259636,1.6001,0.0312402,0.000814831,0.208078,78.1421,0.499533,2.04486,2.43078,0.134354,0.310755,0.623012,18.0629,0.0171246,-1.53642,2.9951,0.00459796,0.677631,1.96531,0.513089,10.3243,4.12337
0.000125007,1.3251,0.0809541,0.00186085,0.277576,0.035768,1.22279,0.0447786,0.00049979,0.172765,140.697,0.203084,2.74685,2.2378,0.0504465,0.35725,0.647581,14.8572,0.0258813,-2.84304,3.28126,0.0109341,0.432528,1.25486,0.948185,8.74575,2.77151
0.000139203,1.49365,0.0903115,0.00274801,0.533852,0.0387807,1.6163,0.0335572,0.000448202,0.192768,168.973,0.479576,2.03773,2.61423,0.101065,0.202881,0.579954,20.4552,0.0249297,-2.21897,1.26394,0.00587204,0.631693,2.54079,0.946126,7.17035,2.43911
8.06702e-05,1.428,0.0733725,0.00144343,0.91713,0.0252259,1.15914,0.0670033,0.000410735,0.177938,147.619,0.493602,2.55992,2.93986,0.0951499,0.222411,0.265703,28.1259,0.0212667,-2.65581,2.25982,0.0115904,0.676412,2.77958,1.17946,5.52105,3.82922
0.000123173,1.32863,0.0756906,0.00224132,0.705655,0.0308376,0.799249,0.045099,0.00057076,0.133366,126.107,0.243241,2.2307,1.84386,0.0581292,0.298809,0.528663,13.7128,0.0244553,-2.81668,2.33374,0.0106368,0.514789,2.27655,0.853049,9.30689,4.23842
